main	sub	테이블명	사용구분
lse	HPRM	lse_hprm_prv_prg	0
lse	HPRM	lse_hprm_nrdsc	0
lse	HPRM	lse_hprm_rptg_otcm_py	0
lse	HPRM	lse_cpent_dv_are	0
lse	HPRM	lse_lsettm_cpent	0
lse	HPRM	lse_cpent_stf_ps_ctq	0
lse	HPRM	lse_cpent_stf_chr_bsns	0
lse	HPRM	lse_hprm_plst_rs	0
lse	HPRM	lse_hprm_next_mdcf	0
lse	HPRM	lse_hprm_prv	0
lse	HPRM	lse_hprm_cslmn	0
lse	HPRM	lse_hprm_cmpx_rdt_dprt	0
lse	HPRM	lse_cpent_dv_lmit	0
lse	HPRM	lse_hprm_mvpr_dmamt	0
lse	HPRM	lse_cpent_dmas_bsns	0
lse	HPRM	lse_hprm_drct_mtd	0
lse	HPRM	lse_hprm_mch_hshgd_hgd_ivamt	0
lse	HPRM	lse_hprm_ply_dt	0
lse	HPRM	lse_hprm_rptg_clm_row	0
lse	HPRM	lse_cpent_vl_st	0
lse	HPRM	lse_hprm_chrps_ta	0
lse	HPRM	lse_hprm_dbins	0
lse	HPRM	lse_hprm_tth_supm	0
lse	HPRM	lse_hprm_end_ap_xcpt_bj	0
lse	HPRM	lse_hprm_mvpr_hprdt	0
lse	HPRM	lse_hprm_sb	0
lse	HPRM	lse_hprm_clmnv_rptg	0
lse	HPRM	lse_hprm_pend_adm	0
lse	HPRM	lse_hprm_are	0
lse	HPRM	lse_cnr_cl_dvmrt	0
lse	HPRM	lse_cpent_dv_ba	0
lse	HPRM	lse_auto_nv_tp_it	0
lse	HPRM	lse_hprm_dmas_dlvr	0
lse	HPRM	lse_cprt_entp_chrps	0
lse	HPRM	lse_hprm_dl_prg_adm	0
lse	HPRM	lse_cpent_cnr_cl_dv	0
lse	HPRM	lse_hprm_cmplm	0
lse	HPRM	lse_cpent_clmnv_dv	0
lse	HPRM	lse_hprm_rptg_adx_dcu	0
lse	HPRM	lse_clmnv_cpent	0
lse	HPRM	lse_hprm_nsamt	0
lse	HPRM	lse_hprm_crps_equ	0
lse	HPRM	lse_hprm_ivamt	0
lse	HPRM	lse_hprm_hlion_dt	0
lse	HPRM	lse_hprm_clm_nv	0
lse	HPRM	lse_hprm_chek_list	0
lse	HPRM	lse_auto_nv_tp	0
